product_id,category,image_url
RR-701,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/0fa5343c0a0329ba972934cdd9668c6b.jpg
RR-702,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/1fb21e209c26da4de1e82b914631c0a3.jpg
RR-703,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/3cdce5a00a8544786da9a7864f9e8138.jpg
RR-704,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/4ce421d52917a787a8e0869fbfb5258c.jpg
RR-705,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/4def7991261b55f42123348cc6647ec3.jpg
RR-706,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/4eb84be65fba3e2c04dd797f13d0260d.jpg
RR-707,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/5a8ee3a73394e0d17b48bf4b6c79d1ae.jpg
RR-708,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/5ab3af9b9d577813d420aa6b0b139603.jpg
RR-709,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/7b0c73d71904f397b9e9129ed23763b8.jpg
RR-710,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/8c8a60d491e78b3faafff46ceeb98d24.jpg
RR-711,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/9d3ce80c2b2844122d97f863064e85c8.jpg
RR-712,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/9f3549ae470fd39c691a3b0fb18ab63b.jpg
RR-713,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/33d0647649af581ab18d7b783be2ec26.jpg
RR-714,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/82eab104756596a3c30211e1b2a17bb6.jpg
RR-715,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/394a7119d57f2884f0cc1ab0d8c7c8f1.jpg
RR-716,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/0440f7d1317065085a9bad78ccde665e.jpg
RR-717,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/0628bac52b4494460f587471c69467a3.jpg
RR-718,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/797a1a72dc6bd383bfdbd525355f4fe5.jpg
RR-719,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/985bede2b88fd0ad9721a8b96e061788.jpg
RR-720,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/6919e9974203e9393805dcbd18edc1af.jpg
RR-721,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/6957f0e1a2f646c21996d5f3961c6d08.jpg
RR-722,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/37071c68918ac92d57e13e4476581859.jpg
RR-723,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/402677636a94914d5488cdc9f6fefe8c.jpg
RR-724,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/9988395577a2467a4fef194f3495efb7.jpg
RR-725,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/66888395695948ea0502975ba5daddaf.jpg
RR-726,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/93105080241440f5e0bb6451235fe0fc.jpg
RR-727,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/aab9f27ff3ffcf26867983a40337600f.jpg
RR-728,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/b83260c7f7e76476b42711fe1bb5cd27.jpg
RR-729,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/b94886798c1971947e3b1919b0c7e0eb.jpg
RR-730,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/bb84f3a8e4f1cbb3d1c2426610a77711.jpg
RR-731,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/bd53cbca139118c7786b49ab6262e9b6.jpg
RR-732,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/c0b97d4a2a649955d7a6e90a0504938f.jpg
RR-733,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/c06785234d5dcff0ba0ca3270f535c34.jpg
RR-734,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/ce82016cb2c0c1e663aa2861a71c59ba.jpg
RR-735,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/cf4cb1ead63bbe1298e360d7633e9287.jpg
RR-736,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/d9c7cd2636d52d2d541eef314546ae29.jpg
RR-737,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/df8c4feb935797d88c312572fe62cae9.jpg
RR-738,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/f8b95531d81901aa058753811a4aa950.jpg
RR-739,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/f43c5bdd1e31470175832bfc8480197a.jpg
RR-740,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/fecd8b0e8f5f7748b3dec8cb701e06f1%20-%20Copy.jpg
RR-741,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/ffa7bd3258a000df5aea1253ef7b5539.jpg
RR-742,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/image-Picsart-AiImageEnhancer%20-%202026-01-19T163002.513.png
RR-743,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/image-Picsart-AiImageEnhancer%20-%202026-01-19T163339.903.png
RR-744,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/image-Picsart-AiImageEnhancer%20-%202026-01-19T170300.346.png
RR-745,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/Screenshot%202026-01-19%20160016.png
RR-746,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/Screenshot%202026-01-19%20160315.png
RR-747,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/Screenshot%202026-01-19%20160425.png
RR-748,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/Screenshot%202026-01-19%20160510.png
RR-749,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/Screenshot%202026-01-19%20160903.png
RR-750,Lounger (Diwaan),https://retroroots.co.in/wp-content/uploads/2024/RRimage/loungerdiwaan/Screenshot%202026-01-19%20161152.png
