ID,Title,Category Folder,Categories,Price,Primary Image,Secondary Image,Link
1-recliners,"0.5 Watt Night Lamp",recliners,"Indoor Decoration","₹ 127.50 - ₹ 168.85","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-2-05.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-2-03.jpg","https://wdtteapoy.wpengine.com/product/0-5-watt-night-lamp/"
2-recliners,"Adjustable Leather Sofa",recliners,"Indoor Decoration","₹ 172.30 - ₹ 173.75","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-12-02.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-12-01.jpg","https://wdtteapoy.wpengine.com/product/adjustable-leather-sofa/"
3-recliners,"Adjustable Single Sofa",recliners,"Office Decoration","₹ 168.85 - ₹ 172.10","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-12-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-12-02.jpg","https://wdtteapoy.wpengine.com/product/adjustable-single-sofa/"
4-recliners,"Bamboo Sofa",recliners,"Home Decoration, Outdoor Decoration","₹ 27.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-1-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-1-02.jpg","https://wdtteapoy.wpengine.com/product/bamboo-sofa/"
5-recliners,"Ceramic Art Set",recliners,"Home Decoration","₹ 25.40 - ₹ 26.15","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-3-03.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-3-02.jpg","https://wdtteapoy.wpengine.com/product/ceramic-art-set/"
6-recliners,"Copper Flower Vase",recliners,"Indoor Decoration","₹ 12.40 - ₹ 15.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-6-03.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-6-02.jpg","https://wdtteapoy.wpengine.com/product/copper-flower-vase/"
7-recliners,"Copper Tea Jug Set",recliners,"Home Decoration, Outdoor Decoration","₹ 32.20 - ₹ 56.15","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-11-04-1.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-11-01.jpg","https://wdtteapoy.wpengine.com/product/copper-tea-jug-set/"
8-recliners,"Creative Bonsai Plant",recliners,"Office Decoration, Outdoor Decoration","₹ 11.10 - ₹ 11.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-5-04.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-5-01.jpg","https://wdtteapoy.wpengine.com/product/creative-bonsai-plant/"
9-recliners,"Elegant Wooden Table",recliners,"Home Decoration, Outdoor Decoration","₹ 88.20 - ₹ 146.40","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-7-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-7-02.jpg","https://wdtteapoy.wpengine.com/product/elegant-wooden-table/"
1-diningchair,"0.5 Watt Night Lamp",diningchair,"Indoor Decoration","₹ 127.50 - ₹ 168.85","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-2-05.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-2-03.jpg","https://wdtteapoy.wpengine.com/product/0-5-watt-night-lamp/"
